client_id,partition,total_samples,0,1,2,3,4,5,6,7,8
orchestrator,central_test_set,7180,1338,847,339,634,1035,592,741,421,1233
0,train_set,4127,1365,2026,736,0,0,0,0,0,0
0,test_set,1770,547,920,303,0,0,0,0,0,0
1,train_set,4155,1363,2084,708,0,0,0,0,0,0
1,test_set,1782,592,880,310,0,0,0,0,0,0
2,train_set,4148,1367,2078,703,0,0,0,0,0,0
2,test_set,1779,577,919,283,0,0,0,0,0,0
3,train_set,3671,0,0,0,513,2862,296,0,0,0
3,test_set,1574,0,0,0,184,1269,121,0,0,0
4,train_set,3660,0,0,0,447,2928,285,0,0,0
4,test_set,1569,0,0,0,202,1243,124,0,0,0
5,train_set,3668,0,0,0,481,2899,288,0,0,0
5,test_set,1573,0,0,0,204,1241,128,0,0,0
6,train_set,3656,0,0,0,464,2905,287,0,0,0
6,test_set,1567,0,0,0,181,1261,125,0,0,0
7,train_set,3644,0,0,0,511,2851,282,0,0,0
7,test_set,1562,0,0,0,196,1231,135,0,0,0
8,train_set,3670,0,0,0,440,2935,295,0,0,0
8,test_set,1574,0,0,0,209,1235,130,0,0,0
9,train_set,3658,0,0,0,479,2878,301,0,0,0
9,test_set,1568,0,0,0,194,1241,133,0,0,0
10,train_set,4236,0,0,0,0,0,0,1064,1176,1996
10,test_set,1816,0,0,0,0,0,0,476,486,854
11,train_set,4235,0,0,0,0,0,0,1111,1156,1968
11,test_set,1816,0,0,0,0,0,0,434,484,898
12,train_set,4242,0,0,0,0,0,0,1112,1110,2020
12,test_set,1819,0,0,0,0,0,0,475,483,861
13,train_set,4238,0,0,0,0,0,0,1110,1129,1999
13,test_set,1817,0,0,0,0,0,0,462,503,852
14,train_set,4216,0,0,0,0,0,0,1085,1134,1997
14,test_set,1808,0,0,0,0,0,0,472,500,836
