client_id,partition,total_samples,0,1,2,3,4,5,6,7
orchestrator,central_test_set,3421,244,624,311,579,243,284,666,470
0,train_set,426,409,17,0,0,0,0,0,0
0,test_set,183,172,11,0,0,0,0,0,0
1,train_set,433,419,14,0,0,0,0,0,0
1,test_set,186,180,6,0,0,0,0,0,0
2,train_set,433,417,16,0,0,0,0,0,0
2,test_set,186,178,8,0,0,0,0,0,0
3,train_set,576,0,0,171,273,132,0,0,0
3,test_set,247,0,0,72,122,53,0,0,0
4,train_set,578,0,0,152,294,132,0,0,0
4,test_set,249,0,0,76,119,54,0,0,0
5,train_set,574,0,0,175,275,124,0,0,0
5,test_set,246,0,0,75,120,51,0,0,0
6,train_set,583,0,0,159,293,131,0,0,0
6,test_set,251,0,0,66,134,51,0,0,0
7,train_set,583,0,0,173,283,127,0,0,0
7,test_set,251,0,0,69,122,60,0,0,0
8,train_set,577,0,0,161,296,120,0,0,0
8,test_set,248,0,0,75,115,58,0,0,0
9,train_set,574,0,0,148,292,134,0,0,0
9,test_set,246,0,0,76,117,53,0,0,0
10,train_set,550,0,0,0,0,0,301,189,60
10,test_set,236,0,0,0,0,0,134,70,32
11,train_set,548,0,0,0,0,0,313,175,60
11,test_set,236,0,0,0,0,0,123,88,25
12,train_set,550,0,0,0,0,0,284,205,61
12,test_set,236,0,0,0,0,0,126,84,26
13,train_set,545,0,0,0,0,0,286,197,62
13,test_set,234,0,0,0,0,0,118,90,26
14,train_set,549,0,0,0,0,0,299,187,63
14,test_set,236,0,0,0,0,0,128,81,27
