client_id,partition,total_samples,0,1,2,3,4,5,6,7
orchestrator,central_test_set,3421,244,624,311,579,243,284,666,470
0,train_set,294,11,283,0,0,0,0,0,0
0,test_set,127,5,122,0,0,0,0,0,0
1,train_set,290,10,280,0,0,0,0,0,0
1,test_set,125,5,120,0,0,0,0,0,0
2,train_set,292,12,280,0,0,0,0,0,0
2,test_set,126,8,118,0,0,0,0,0,0
3,train_set,296,15,281,0,0,0,0,0,0
3,test_set,127,7,120,0,0,0,0,0,0
4,train_set,291,11,280,0,0,0,0,0,0
4,test_set,125,9,116,0,0,0,0,0,0
5,train_set,292,16,276,0,0,0,0,0,0
5,test_set,126,7,119,0,0,0,0,0,0
6,train_set,294,9,285,0,0,0,0,0,0
6,test_set,127,3,124,0,0,0,0,0,0
7,train_set,294,0,0,71,55,168,0,0,0
7,test_set,127,0,0,27,16,84,0,0,0
8,train_set,293,0,0,56,51,186,0,0,0
8,test_set,126,0,0,23,22,81,0,0,0
9,train_set,287,0,0,64,51,172,0,0,0
9,test_set,124,0,0,31,23,70,0,0,0
10,train_set,284,0,0,57,42,185,0,0,0
10,test_set,123,0,0,31,15,77,0,0,0
11,train_set,289,0,0,71,39,179,0,0,0
11,test_set,125,0,0,36,28,61,0,0,0
12,train_set,283,0,0,72,41,170,0,0,0
12,test_set,122,0,0,26,18,78,0,0,0
13,train_set,288,0,0,60,53,175,0,0,0
13,test_set,124,0,0,30,22,72,0,0,0
14,train_set,288,0,0,53,46,189,0,0,0
14,test_set,124,0,0,32,18,74,0,0,0
15,train_set,288,0,0,42,54,192,0,0,0
15,test_set,124,0,0,28,18,78,0,0,0
16,train_set,284,0,0,79,41,164,0,0,0
16,test_set,123,0,0,26,12,85,0,0,0
17,train_set,281,0,0,60,52,169,0,0,0
17,test_set,121,0,0,24,26,71,0,0,0
18,train_set,290,0,0,70,39,181,0,0,0
18,test_set,125,0,0,31,27,67,0,0,0
19,train_set,290,0,0,76,47,167,0,0,0
19,test_set,125,0,0,36,19,70,0,0,0
20,train_set,290,0,0,71,50,169,0,0,0
20,test_set,125,0,0,24,29,72,0,0,0
21,train_set,280,0,0,0,0,0,225,49,6
21,test_set,121,0,0,0,0,0,95,23,3
22,train_set,279,0,0,0,0,0,235,34,10
22,test_set,120,0,0,0,0,0,91,24,5
23,train_set,277,0,0,0,0,0,227,41,9
23,test_set,119,0,0,0,0,0,95,20,4
24,train_set,277,0,0,0,0,0,230,37,10
24,test_set,119,0,0,0,0,0,102,14,3
25,train_set,282,0,0,0,0,0,227,45,10
25,test_set,121,0,0,0,0,0,99,14,8
26,train_set,280,0,0,0,0,0,226,42,12
26,test_set,120,0,0,0,0,0,98,18,4
27,train_set,282,0,0,0,0,0,225,44,13
27,test_set,121,0,0,0,0,0,95,19,7
28,train_set,275,0,0,0,0,0,222,38,15
28,test_set,119,0,0,0,0,0,99,16,4
29,train_set,280,0,0,0,0,0,229,39,12
29,test_set,120,0,0,0,0,0,97,20,3
