client_id,partition,total_samples,0,1,2,3,4,5,6,7,8
orchestrator,central_test_set,7180,1338,847,339,634,1035,592,741,421,1233
0,train_set,2102,1731,105,266,0,0,0,0,0,0
0,test_set,901,743,40,118,0,0,0,0,0,0
1,train_set,2094,1730,93,271,0,0,0,0,0,0
1,test_set,898,740,58,100,0,0,0,0,0,0
2,train_set,2086,1705,111,270,0,0,0,0,0,0
2,test_set,895,749,38,108,0,0,0,0,0,0
3,train_set,2080,1699,94,287,0,0,0,0,0,0
3,test_set,892,743,45,104,0,0,0,0,0,0
4,train_set,2094,1719,126,249,0,0,0,0,0,0
4,test_set,898,744,44,110,0,0,0,0,0,0
5,train_set,2100,1732,106,262,0,0,0,0,0,0
5,test_set,901,744,41,116,0,0,0,0,0,0
6,train_set,2079,1735,97,247,0,0,0,0,0,0
6,test_set,892,746,36,110,0,0,0,0,0,0
7,train_set,2198,0,0,0,1270,103,825,0,0,0
7,test_set,943,0,0,0,534,38,371,0,0,0
8,train_set,2186,0,0,0,1235,90,861,0,0,0
8,test_set,938,0,0,0,525,44,369,0,0,0
9,train_set,2176,0,0,0,1250,110,816,0,0,0
9,test_set,933,0,0,0,528,35,370,0,0,0
10,train_set,2188,0,0,0,1222,107,859,0,0,0
10,test_set,938,0,0,0,557,45,336,0,0,0
11,train_set,2193,0,0,0,1270,86,837,0,0,0
11,test_set,940,0,0,0,532,42,366,0,0,0
12,train_set,2181,0,0,0,1273,77,831,0,0,0
12,test_set,935,0,0,0,536,45,354,0,0,0
13,train_set,2198,0,0,0,1245,99,854,0,0,0
13,test_set,942,0,0,0,518,42,382,0,0,0
14,train_set,2198,0,0,0,1239,91,868,0,0,0
14,test_set,942,0,0,0,510,42,390,0,0,0
15,train_set,2182,0,0,0,1256,99,827,0,0,0
15,test_set,936,0,0,0,524,43,369,0,0,0
16,train_set,2192,0,0,0,1235,107,850,0,0,0
16,test_set,940,0,0,0,526,38,376,0,0,0
17,train_set,2198,0,0,0,1285,89,824,0,0,0
17,test_set,942,0,0,0,549,50,343,0,0,0
18,train_set,2176,0,0,0,1251,100,825,0,0,0
18,test_set,933,0,0,0,524,41,368,0,0,0
19,train_set,2173,0,0,0,1289,82,802,0,0,0
19,test_set,932,0,0,0,548,37,347,0,0,0
20,train_set,2172,0,0,0,1205,94,873,0,0,0
20,test_set,931,0,0,0,543,42,346,0,0,0
21,train_set,2221,0,0,0,0,0,0,506,712,1003
21,test_set,952,0,0,0,0,0,0,225,300,427
22,train_set,2214,0,0,0,0,0,0,517,679,1018
22,test_set,950,0,0,0,0,0,0,234,284,432
23,train_set,2213,0,0,0,0,0,0,519,680,1014
23,test_set,949,0,0,0,0,0,0,218,285,446
24,train_set,2216,0,0,0,0,0,0,488,705,1023
24,test_set,951,0,0,0,0,0,0,211,271,469
25,train_set,2227,0,0,0,0,0,0,511,700,1016
25,test_set,955,0,0,0,0,0,0,233,273,449
26,train_set,2226,0,0,0,0,0,0,512,706,1008
26,test_set,955,0,0,0,0,0,0,223,268,464
27,train_set,2221,0,0,0,0,0,0,489,665,1067
27,test_set,953,0,0,0,0,0,0,221,316,416
28,train_set,2228,0,0,0,0,0,0,517,634,1077
28,test_set,955,0,0,0,0,0,0,221,295,439
29,train_set,2221,0,0,0,0,0,0,509,665,1047
29,test_set,952,0,0,0,0,0,0,225,285,442
