0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
AN,AO,AM,AK,AL,AH,AF,AI,AJ,AD,AG,AC,AE,AB,AA
AN,AO,AM,AK,AL,AH,AF,AI,AJ,AD,AG,AC,AE,AB,AA
AN,AO,AM,AK,AL,AH,AF,AI,AJ,AD,AG,AC,AE,AB,AA
AN,AO,AM,AK,AL,AH,AF,AI,AJ,AD,AG,AC,AE,AB,AA
AN,AO,AM,AK,AL,AH,AF,AI,AJ,AD,AG,AC,AE,AB,AA
AN,AO,AM,AK,AL,AH,AF,AI,AJ,AD,AG,AC,AE,AB,AA
AN,AO,AM,AK,AL,AH,AF,AI,AJ,AD,AG,AC,AE,AB,AA
AN,AO,AM,AK,AL,AH,AF,AI,AJ,AD,AG,AC,AE,AB,AA
AN,AO,AM,AK,AL,AH,AF,AI,AJ,AD,AG,AC,AE,AB,AA
AN,AO,AM,AK,AL,AH,AF,AI,AJ,AD,AG,AC,AE,AB,AA
AN,AO,AM,AK,AL,AH,AF,AI,AJ,AD,AG,AC,AE,AB,AA
AN,AO,AM,AK,AL,AH,AF,AI,AJ,AD,AG,AC,AE,AB,AA
AN,AO,AM,AK,AL,AH,AF,AI,AJ,AD,AG,AC,AE,AB,AA
AN,AO,AM,AK,AL,AH,AF,AI,AJ,AD,AG,AC,AE,AB,AA
AN,AO,AM,AK,AL,AH,AF,AI,AJ,AD,AG,AC,AE,AB,AA
AN,AO,AM,AK,AL,AH,AF,AI,AJ,AD,AG,AC,AE,AB,AA
AN,AO,AM,AK,AL,AH,AF,AI,AJ,AD,AG,AC,AE,AB,AA
AN,AO,AM,AK,AL,AH,AF,AI,AJ,AD,AG,AC,AE,AB,AA
AN,AO,AM,AK,AL,AH,AF,AI,AJ,AD,AG,AC,AE,AB,AA
AN,AO,AM,AK,AL,AH,AF,AI,AJ,AD,AG,AC,AE,AB,AA
AN,AO,AM,AK,AL,AH,AF,AI,AJ,AD,AG,AC,AE,AB,AA
AN,AO,AM,AK,AL,AH,AF,AI,AJ,AD,AG,AC,AE,AB,AA
AN,AO,AM,AK,AL,AH,AF,AI,AJ,AD,AG,AC,AE,AB,AA
AN,AO,AM,AK,AL,AH,AF,AI,AJ,AD,AG,AC,AE,AB,AA
AN,AO,AM,AK,AL,AH,AF,AI,AJ,AD,AG,AC,AE,AB,AA
AN,AO,AM,AK,AL,AH,AF,AI,AJ,AD,AG,AC,AE,AB,AA
AN,AO,AM,AK,AL,AH,AF,AI,AJ,AD,AG,AC,AE,AB,AA
AN,AO,AM,AK,AL,AH,AF,AI,AJ,AD,AG,AC,AE,AB,AA
AN,AO,AM,AK,AL,AH,AF,AI,AJ,AD,AG,AC,AE,AB,AA
AN,AO,AM,AK,AL,AH,AF,AI,AJ,AD,AG,AC,AE,AB,AA
AN,AO,AM,AK,AL,AH,AF,AI,AJ,AD,AG,AC,AE,AB,AA
AN,AO,AM,AK,AL,AH,AF,AI,AJ,AD,AG,AC,AE,AB,AA
AN,AO,AM,AK,AL,AH,AF,AI,AJ,AD,AG,AC,AE,AB,AA
AN,AO,AM,AK,AL,AH,AF,AI,AJ,AD,AG,AC,AE,AB,AA
AN,AO,AM,AK,AL,AH,AF,AI,AJ,AD,AG,AC,AE,AB,AA
AN,AO,AM,AK,AL,AH,AF,AI,AJ,AD,AG,AC,AE,AB,AA
AN,AO,AM,AK,AL,AH,AF,AI,AJ,AD,AG,AC,AE,AB,AA
AN,AO,AM,AK,AL,AH,AF,AI,AJ,AD,AG,AC,AE,AB,AA
AN,AO,AM,AK,AL,AH,AF,AI,AJ,AD,AG,AC,AE,AB,AA
AN,AO,AM,AK,AL,AH,AF,AI,AJ,AD,AG,AC,AE,AB,AA
