client_id,partition,total_samples,0,1,2,3,4,5,6,7,8
orchestrator,central_test_set,7180,1338,847,339,634,1035,592,741,421,1233
0,train_set,2221,733,707,781,0,0,0,0,0,0
0,test_set,953,284,303,366,0,0,0,0,0,0
1,train_set,2221,709,734,778,0,0,0,0,0,0
1,test_set,952,293,305,354,0,0,0,0,0,0
2,train_set,2221,724,717,780,0,0,0,0,0,0
2,test_set,953,308,294,351,0,0,0,0,0,0
3,train_set,2219,695,726,798,0,0,0,0,0,0
3,test_set,951,306,302,343,0,0,0,0,0,0
4,train_set,2233,738,719,776,0,0,0,0,0,0
4,test_set,958,300,298,360,0,0,0,0,0,0
5,train_set,2218,719,741,758,0,0,0,0,0,0
5,test_set,951,298,320,333,0,0,0,0,0,0
6,train_set,2229,753,688,788,0,0,0,0,0,0
6,test_set,956,283,327,346,0,0,0,0,0,0
7,train_set,2226,759,686,781,0,0,0,0,0,0
7,test_set,954,324,303,327,0,0,0,0,0,0
8,train_set,2214,707,714,793,0,0,0,0,0,0
8,test_set,949,291,323,335,0,0,0,0,0,0
9,train_set,2216,703,703,810,0,0,0,0,0,0
9,test_set,951,313,308,330,0,0,0,0,0,0
10,train_set,2219,0,0,0,749,608,862,0,0,0
10,test_set,952,0,0,0,321,247,384,0,0,0
11,train_set,2218,0,0,0,735,603,880,0,0,0
11,test_set,951,0,0,0,335,252,364,0,0,0
12,train_set,2228,0,0,0,729,598,901,0,0,0
12,test_set,955,0,0,0,339,244,372,0,0,0
13,train_set,2220,0,0,0,737,616,867,0,0,0
13,test_set,952,0,0,0,325,258,369,0,0,0
14,train_set,2230,0,0,0,741,611,878,0,0,0
14,test_set,957,0,0,0,330,247,380,0,0,0
15,train_set,2233,0,0,0,775,591,867,0,0,0
15,test_set,957,0,0,0,312,272,373,0,0,0
16,train_set,2226,0,0,0,814,541,871,0,0,0
16,test_set,954,0,0,0,289,267,398,0,0,0
17,train_set,2227,0,0,0,747,565,915,0,0,0
17,test_set,955,0,0,0,316,267,372,0,0,0
18,train_set,2218,0,0,0,730,607,881,0,0,0
18,test_set,951,0,0,0,324,240,387,0,0,0
19,train_set,2229,0,0,0,744,564,921,0,0,0
19,test_set,956,0,0,0,317,227,412,0,0,0
20,train_set,2228,0,0,0,0,0,0,596,698,934
20,test_set,955,0,0,0,0,0,0,241,317,397
21,train_set,2213,0,0,0,0,0,0,546,716,951
21,test_set,949,0,0,0,0,0,0,253,288,408
22,train_set,2224,0,0,0,0,0,0,561,702,961
22,test_set,954,0,0,0,0,0,0,255,278,421
23,train_set,2216,0,0,0,0,0,0,594,670,952
23,test_set,951,0,0,0,0,0,0,264,299,388
24,train_set,2232,0,0,0,0,0,0,560,680,992
24,test_set,957,0,0,0,0,0,0,253,313,391
25,train_set,2219,0,0,0,0,0,0,603,683,933
25,test_set,952,0,0,0,0,0,0,252,308,392
26,train_set,2230,0,0,0,0,0,0,591,688,951
26,test_set,957,0,0,0,0,0,0,246,312,399
27,train_set,2231,0,0,0,0,0,0,625,679,927
27,test_set,957,0,0,0,0,0,0,247,294,416
28,train_set,2212,0,0,0,0,0,0,586,707,919
28,test_set,949,0,0,0,0,0,0,252,325,372
29,train_set,2235,0,0,0,0,0,0,590,680,965
29,test_set,958,0,0,0,0,0,0,245,302,411
