client_id,partition,total_samples,0,1,2,3,4,5,6,7,8
orchestrator,central_test_set,7180,1338,847,339,634,1035,592,741,421,1233
0,train_set,4398,815,795,886,0,0,0,0,827,1075
0,test_set,1885,342,362,376,0,0,0,0,348,457
1,train_set,4407,790,845,925,0,0,0,0,749,1098
1,test_set,1889,330,368,371,0,0,0,0,343,477
2,train_set,4426,799,812,845,0,0,0,0,863,1107
2,test_set,1897,360,344,376,0,0,0,0,333,484
3,train_set,4417,819,778,882,0,0,0,0,814,1124
3,test_set,1893,334,364,363,0,0,0,0,349,483
4,train_set,4410,846,855,855,0,0,0,0,759,1095
4,test_set,1890,339,391,433,0,0,0,0,300,427
5,train_set,4396,0,0,0,0,704,1060,694,817,1121
5,test_set,1884,0,0,0,0,281,484,280,352,487
6,train_set,4393,0,0,0,0,724,1037,711,784,1137
6,test_set,1884,0,0,0,0,303,430,316,370,465
7,train_set,4419,0,0,0,0,671,1056,715,823,1154
7,test_set,1894,0,0,0,0,303,453,311,363,464
8,train_set,4420,0,0,0,0,700,1049,709,833,1129
8,test_set,1895,0,0,0,0,313,453,301,362,466
9,train_set,4405,0,0,0,0,708,1029,712,835,1121
9,test_set,1889,0,0,0,0,318,440,271,340,520
10,train_set,4425,654,696,786,787,573,929,0,0,0
10,test_set,1897,295,304,310,309,272,407,0,0,0
11,train_set,4439,721,677,767,746,593,935,0,0,0
11,test_set,1903,272,314,332,314,274,397,0,0,0
12,train_set,4456,694,723,766,753,636,884,0,0,0
12,test_set,1910,302,324,327,329,243,385,0,0,0
13,train_set,4448,652,710,805,809,600,872,0,0,0
13,test_set,1907,296,329,367,308,236,371,0,0,0
14,train_set,4446,681,732,795,780,593,865,0,0,0
14,test_set,1906,290,312,315,332,256,401,0,0,0
