0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
1,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
2,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
4,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
5,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
6,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
7,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
8,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
9,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
10,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
11,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
12,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
13,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
14,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
15,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
16,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
17,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
18,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
19,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
20,AW,AS,AT,AQ,AR,AH,AU,AY,AX,AV,AZ,AI,AN,AD,AJ,AL,AM,AO,AF,AG,AK,AE,AC,AB,AA,A1,A2,A3,A4,A5
21,AW,AS,AT,AQ,AR,AH,AU,AY,AX,AV,AZ,AI,AN,AD,AJ,AL,AM,AO,AF,AG,AK,AE,AC,AB,AA,A1,A2,A3,A4,A5
22,AW,AS,AT,AQ,AR,AH,AU,AY,AX,AV,AZ,AI,AN,AD,AJ,AL,AM,AO,AF,AG,AK,AE,AC,AB,AA,A1,A2,A3,A4,A5
23,AW,AS,AT,AQ,AR,AH,AU,AY,AX,AV,AZ,AI,AN,AD,AJ,AL,AM,AO,AF,AG,AK,AE,AC,AB,AA,A1,A2,A3,A4,A5
24,AW,AS,AT,AQ,AR,AH,AU,AY,AX,AV,AZ,AI,AN,AD,AJ,AL,AM,AO,AF,AG,AK,AE,AC,AB,AA,A1,A2,A3,A4,A5
25,AW,AS,AT,AQ,AR,AH,AU,AY,AX,AV,AZ,AI,AN,AD,AJ,AL,AM,AO,AF,AG,AK,AE,AC,AB,AA,A1,A2,A3,A4,A5
26,AW,AS,AT,AQ,AR,AH,AU,AY,AX,AV,AZ,AI,AN,AD,AJ,AL,AM,AO,AF,AG,AK,AE,AC,AB,AA,A1,A2,A3,A4,A5
