client_id,partition,total_samples,0,1,2,3,4,5,6,7
orchestrator,central_test_set,3421,244,624,311,579,243,284,666,470
0,train_set,563,163,400,0,0,0,0,0,0
0,test_set,242,77,165,0,0,0,0,0,0
1,train_set,567,175,392,0,0,0,0,0,0
1,test_set,243,68,175,0,0,0,0,0,0
2,train_set,563,132,431,0,0,0,0,0,0
2,test_set,242,73,169,0,0,0,0,0,0
3,train_set,562,175,387,0,0,0,0,0,0
3,test_set,242,57,185,0,0,0,0,0,0
4,train_set,567,163,404,0,0,0,0,0,0
4,test_set,243,76,167,0,0,0,0,0,0
5,train_set,575,0,0,176,267,132,0,0,0
5,test_set,247,0,0,60,140,47,0,0,0
6,train_set,577,0,0,144,296,137,0,0,0
6,test_set,248,0,0,67,118,63,0,0,0
7,train_set,585,0,0,172,292,121,0,0,0
7,test_set,251,0,0,71,123,57,0,0,0
8,train_set,579,0,0,166,292,121,0,0,0
8,test_set,249,0,0,61,141,47,0,0,0
9,train_set,583,0,0,151,302,130,0,0,0
9,test_set,251,0,0,64,138,49,0,0,0
10,train_set,588,0,0,0,0,0,108,296,184
10,test_set,252,0,0,0,0,0,44,122,86
11,train_set,590,0,0,0,0,0,115,265,210
11,test_set,253,0,0,0,0,0,45,118,90
12,train_set,595,0,0,0,0,0,116,281,198
12,test_set,256,0,0,0,0,0,54,134,68
13,train_set,593,0,0,0,0,0,106,289,198
13,test_set,255,0,0,0,0,0,41,122,92
14,train_set,587,0,0,0,0,0,118,264,205
14,test_set,252,0,0,0,0,0,50,117,85
