client_id,partition,total_samples,0,1,2,3,4,5,6,7,8,9
orchestrator,central_test_set,10000,980,1135,1032,1010,982,892,958,1028,974,1009
0,train_set,2584,634,702,633,615,0,0,0,0,0,0
0,test_set,1108,268,292,261,287,0,0,0,0,0,0
1,train_set,2592,646,699,620,627,0,0,0,0,0,0
1,test_set,1111,241,301,304,265,0,0,0,0,0,0
2,train_set,2612,635,699,656,622,0,0,0,0,0,0
2,test_set,1120,272,299,269,280,0,0,0,0,0,0
3,train_set,2590,600,704,642,644,0,0,0,0,0,0
3,test_set,1110,277,323,244,266,0,0,0,0,0,0
4,train_set,2593,651,671,631,640,0,0,0,0,0,0
4,test_set,1112,284,294,259,275,0,0,0,0,0,0
5,train_set,2525,0,0,0,0,878,767,880,0,0,0
5,test_set,1083,0,0,0,0,353,355,375,0,0,0
6,train_set,2497,0,0,0,0,874,758,865,0,0,0
6,test_set,1071,0,0,0,0,351,356,364,0,0,0
7,train_set,2491,0,0,0,0,849,785,857,0,0,0
7,test_set,1068,0,0,0,0,348,341,379,0,0,0
8,train_set,2505,0,0,0,0,829,769,907,0,0,0
8,test_set,1074,0,0,0,0,385,351,338,0,0,0
9,train_set,2520,0,0,0,0,868,767,885,0,0,0
9,test_set,1081,0,0,0,0,366,368,347,0,0,0
10,train_set,2513,0,0,0,0,0,0,0,835,850,828
10,test_set,1077,0,0,0,0,0,0,0,382,338,357
11,train_set,2508,0,0,0,0,0,0,0,884,786,838
11,test_set,1075,0,0,0,0,0,0,0,364,346,365
12,train_set,2521,0,0,0,0,0,0,0,878,825,818
12,test_set,1081,0,0,0,0,0,0,0,368,354,359
13,train_set,2525,0,0,0,0,0,0,0,940,787,798
13,test_set,1083,0,0,0,0,0,0,0,387,357,339
14,train_set,2525,0,0,0,0,0,0,0,881,825,819
14,test_set,1083,0,0,0,0,0,0,0,379,329,375
