client_id,partition,total_samples,0,1,2,3,4,5,6,7,8,9
orchestrator,central_test_set,10000,980,1135,1032,1010,982,892,958,1028,974,1009
0,train_set,2648,417,479,477,422,0,0,0,0,440,413
0,test_set,1136,179,203,191,180,0,0,0,0,197,186
1,train_set,2653,433,509,441,445,0,0,0,0,405,420
1,test_set,1138,164,185,191,188,0,0,0,0,200,210
2,train_set,2662,427,490,466,432,0,0,0,0,404,443
2,test_set,1141,179,200,173,205,0,0,0,0,211,173
3,train_set,2657,424,485,461,401,0,0,0,0,437,449
3,test_set,1140,190,197,185,188,0,0,0,0,194,186
4,train_set,2668,422,522,454,426,0,0,0,0,423,421
4,test_set,1144,211,216,157,182,0,0,0,0,183,195
5,train_set,2643,0,0,0,0,401,379,463,498,446,456
5,test_set,1133,0,0,0,0,172,186,184,213,179,199
6,train_set,2654,0,0,0,0,444,378,452,462,450,468
6,test_set,1138,0,0,0,0,186,168,192,200,188,204
7,train_set,2657,0,0,0,0,443,393,415,490,455,461
7,test_set,1140,0,0,0,0,172,188,211,191,192,186
8,train_set,2658,0,0,0,0,457,419,443,475,412,452
8,test_set,1140,0,0,0,0,214,171,189,201,182,183
9,train_set,2662,0,0,0,0,436,404,464,473,465,420
9,test_set,1142,0,0,0,0,191,165,203,195,195,193
10,train_set,2650,413,485,444,461,438,409,0,0,0,0
10,test_set,1137,180,212,201,190,195,159,0,0,0,0
11,train_set,2650,411,496,444,462,435,402,0,0,0,0
11,test_set,1136,189,223,187,201,163,173,0,0,0,0
12,train_set,2654,453,514,415,454,448,370,0,0,0,0
12,test_set,1138,181,215,196,189,191,166,0,0,0,0
13,train_set,2657,450,489,454,451,398,415,0,0,0,0
13,test_set,1140,177,218,194,184,177,190,0,0,0,0
14,train_set,2666,430,516,418,457,432,413,0,0,0,0
14,test_set,1143,184,202,192,204,201,160,0,0,0,0
