client_id,partition,total_samples,T - shirt / top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
orchestrator,central_test_set,10000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0,train_set,2587,638,608,699,642,0,0,0,0,0,0
0,test_set,1110,270,275,275,290,0,0,0,0,0,0
1,train_set,2583,637,671,645,630,0,0,0,0,0,0
1,test_set,1107,262,268,270,307,0,0,0,0,0,0
2,train_set,2590,648,643,650,649,0,0,0,0,0,0
2,test_set,1110,254,287,277,292,0,0,0,0,0,0
3,train_set,2580,642,645,648,645,0,0,0,0,0,0
3,test_set,1106,281,276,267,282,0,0,0,0,0,0
4,train_set,2583,646,617,654,666,0,0,0,0,0,0
4,test_set,1108,291,279,269,269,0,0,0,0,0,0
5,train_set,2521,0,0,0,0,831,833,857,0,0,0
5,test_set,1081,0,0,0,0,373,355,353,0,0,0
6,train_set,2508,0,0,0,0,830,825,853,0,0,0
6,test_set,1076,0,0,0,0,378,356,342,0,0,0
7,train_set,2518,0,0,0,0,839,835,844,0,0,0
7,test_set,1080,0,0,0,0,401,335,344,0,0,0
8,train_set,2509,0,0,0,0,855,812,842,0,0,0
8,test_set,1076,0,0,0,0,356,355,365,0,0,0
9,train_set,2525,0,0,0,0,860,835,830,0,0,0
9,test_set,1083,0,0,0,0,363,367,353,0,0,0
10,train_set,2521,0,0,0,0,0,0,0,854,808,859
10,test_set,1081,0,0,0,0,0,0,0,367,349,365
11,train_set,2508,0,0,0,0,0,0,0,869,830,809
11,test_set,1076,0,0,0,0,0,0,0,357,351,368
12,train_set,2518,0,0,0,0,0,0,0,841,847,830
12,test_set,1080,0,0,0,0,0,0,0,354,366,360
13,train_set,2509,0,0,0,0,0,0,0,819,863,827
13,test_set,1076,0,0,0,0,0,0,0,351,349,376
14,train_set,2525,0,0,0,0,0,0,0,833,801,891
14,test_set,1083,0,0,0,0,0,0,0,349,371,363
