client_id,partition,total_samples,0,1,2,3,4,5,6,7
orchestrator,central_test_set,3421,244,624,311,579,243,284,666,470
0,train_set,585,1,385,15,0,0,0,170,14
0,test_set,252,0,158,8,0,0,0,81,5
1,train_set,579,1,400,9,0,0,0,162,7
1,test_set,249,0,157,3,0,0,0,81,8
2,train_set,587,0,380,15,0,0,0,179,13
2,test_set,252,0,166,4,0,0,0,75,7
3,train_set,588,0,0,0,194,0,53,55,286
3,test_set,253,0,0,0,95,0,18,29,111
4,train_set,590,0,0,0,225,0,56,46,263
4,test_set,254,0,0,0,89,0,23,17,125
5,train_set,587,0,0,0,209,0,47,58,273
5,test_set,252,0,0,0,92,0,27,16,117
6,train_set,592,0,0,0,232,0,53,57,250
6,test_set,254,0,0,0,99,0,25,19,111
7,train_set,592,0,0,0,200,0,49,47,296
7,test_set,254,0,0,0,98,0,22,27,107
8,train_set,589,0,0,0,206,0,63,47,273
8,test_set,253,0,0,0,74,0,31,29,119
9,train_set,582,0,0,0,203,1,48,60,270
9,test_set,250,0,0,0,87,0,21,16,126
10,train_set,574,52,47,17,405,53,0,0,0
10,test_set,246,20,24,5,177,20,0,0,0
11,train_set,580,41,47,29,405,58,0,0,0
11,test_set,249,24,25,10,170,20,0,0,0
12,train_set,569,52,42,27,386,62,0,0,0
12,test_set,245,28,15,8,173,21,0,0,0
13,train_set,574,41,52,20,396,65,0,0,0
13,test_set,246,27,29,8,166,16,0,0,0
14,train_set,573,49,53,18,407,46,0,0,0
14,test_set,246,15,20,4,179,28,0,0,0
