client_id,partition,total_samples,0,1,2,3,4,5,6,7,8,9
orchestrator,central_test_set,10000,980,1135,1032,1010,982,892,958,1028,974,1009
0,train_set,2440,112,95,1055,1178,0,0,0,0,0,0
0,test_set,1046,55,29,444,518,0,0,0,0,0,0
1,train_set,2420,110,76,1019,1215,0,0,0,0,0,0
1,test_set,1038,42,27,424,545,0,0,0,0,0,0
2,train_set,2461,100,94,1048,1219,0,0,0,0,0,0
2,test_set,1056,47,43,444,522,0,0,0,0,0,0
3,train_set,2387,0,0,0,0,1190,0,1197,0,0,0
3,test_set,1023,0,0,0,0,515,0,508,0,0,0
4,train_set,2373,0,0,0,0,1146,0,1227,0,0,0
4,test_set,1018,0,0,0,0,506,0,512,0,0,0
5,train_set,2378,0,0,0,0,1141,1,1236,0,0,0
5,test_set,1020,0,0,0,0,529,0,491,0,0,0
6,train_set,2368,0,0,0,0,1150,0,1218,0,0,0
6,test_set,1016,0,0,0,0,508,1,507,0,0,0
7,train_set,2384,0,0,0,0,1141,1,1242,0,0,0
7,test_set,1022,0,0,0,0,506,0,516,0,0,0
8,train_set,2363,0,0,0,0,1131,0,1232,0,0,0
8,test_set,1014,0,0,0,0,493,2,519,0,0,0
9,train_set,2373,0,0,0,0,1171,0,1202,0,0,0
9,test_set,1018,0,0,0,0,490,0,528,0,0,0
10,train_set,2282,0,0,0,0,0,0,0,1757,458,67
10,test_set,979,0,0,0,0,0,0,0,732,218,29
11,train_set,2297,0,0,0,0,0,0,0,1756,470,71
11,test_set,985,0,0,0,0,0,0,0,727,232,26
12,train_set,2316,0,0,0,0,0,0,0,1770,484,62
12,test_set,993,0,0,0,0,0,0,0,728,220,45
13,train_set,2296,0,0,0,0,0,0,0,1738,489,69
13,test_set,984,0,0,0,0,0,0,0,753,206,25
14,train_set,2286,0,0,0,0,0,0,0,1760,444,82
14,test_set,980,0,0,0,0,0,0,0,726,214,40
