0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
AY,AX,A3,AZ,A4,A2,AW,A1,A5,AV,AQ,AT,AM,AR,AK,AL,AN,AU,AO,AF,AG,AS,AJ,AE,AH,AI,AC,AD,AB,AA
AY,AX,A3,AZ,A4,A2,AW,A1,A5,AV,AQ,AT,AM,AR,AK,AL,AN,AU,AO,AF,AG,AS,AJ,AE,AH,AI,AC,AD,AB,AA
AY,AX,A3,AZ,A4,A2,AW,A1,A5,AV,AQ,AT,AM,AR,AK,AL,AN,AU,AO,AF,AG,AS,AJ,AE,AH,AI,AC,AD,AB,AA
AY,AX,A3,AZ,A4,A2,AW,A1,A5,AV,AQ,AT,AM,AR,AK,AL,AN,AU,AO,AF,AG,AS,AJ,AE,AH,AI,AC,AD,AB,AA
AY,AX,A3,AZ,A4,A2,AW,A1,A5,AV,AQ,AT,AM,AR,AK,AL,AN,AU,AO,AF,AG,AS,AJ,AE,AH,AI,AC,AD,AB,AA
AY,AX,A3,AZ,A4,A2,AW,A1,A5,AV,AQ,AT,AM,AR,AK,AL,AN,AU,AO,AF,AG,AS,AJ,AE,AH,AI,AC,AD,AB,AA
AY,AX,A3,AZ,A4,A2,AW,A1,A5,AV,AQ,AT,AM,AR,AK,AL,AN,AU,AO,AF,AG,AS,AJ,AE,AH,AI,AC,AD,AB,AA
AY,AX,A3,AZ,A4,A2,AW,A1,A5,AV,AQ,AT,AM,AR,AK,AL,AN,AU,AO,AF,AG,AS,AJ,AE,AH,AI,AC,AD,AB,AA
AY,AX,A3,AZ,A4,A2,AW,A1,A5,AV,AQ,AT,AM,AR,AK,AL,AN,AU,AO,AF,AG,AS,AJ,AE,AH,AI,AC,AD,AB,AA
AY,AX,A3,AZ,A4,A2,AW,A1,A5,AV,AQ,AT,AM,AR,AK,AL,AN,AU,AO,AF,AG,AS,AJ,AE,AH,AI,AC,AD,AB,AA
AY,AX,A3,AZ,A4,A2,AW,A1,A5,AV,AQ,AT,AM,AR,AK,AL,AN,AU,AO,AF,AG,AS,AJ,AE,AH,AI,AC,AD,AB,AA
AY,AX,A3,AZ,A4,A2,AW,A1,A5,AV,AQ,AT,AM,AR,AK,AL,AN,AU,AO,AF,AG,AS,AJ,AE,AH,AI,AC,AD,AB,AA
