client_id,partition,total_samples,0,1,2,3,4,5,6,7
orchestrator,central_test_set,3421,244,624,311,579,243,284,666,470
0,train_set,312,20,97,42,0,0,0,85,68
0,test_set,135,12,35,12,0,0,0,52,24
1,train_set,310,30,87,46,0,0,0,88,59
1,test_set,134,16,26,16,0,0,0,38,38
2,train_set,308,28,80,44,0,0,0,92,64
2,test_set,133,14,46,15,0,0,0,35,23
3,train_set,313,32,84,38,0,0,0,78,81
3,test_set,135,7,39,16,0,0,0,43,30
4,train_set,311,40,84,34,0,0,0,92,61
4,test_set,134,15,33,22,0,0,0,36,28
5,train_set,310,34,90,38,0,0,0,83,65
5,test_set,133,14,43,17,0,0,0,38,21
6,train_set,313,34,72,48,0,0,0,91,68
6,test_set,135,13,30,21,0,0,0,38,33
7,train_set,310,31,82,42,0,0,0,88,67
7,test_set,134,16,42,18,0,0,0,31,27
8,train_set,312,29,82,39,0,0,0,98,64
8,test_set,134,12,41,19,0,0,0,35,27
9,train_set,312,33,81,37,0,0,0,101,60
9,test_set,135,17,36,13,0,0,0,39,30
10,train_set,312,0,0,0,68,34,38,106,66
10,test_set,134,0,0,0,36,16,14,40,28
11,train_set,310,0,0,0,75,27,39,98,71
11,test_set,134,0,0,0,29,16,13,49,27
12,train_set,311,0,0,0,87,30,49,81,64
12,test_set,134,0,0,0,23,15,19,38,39
13,train_set,312,0,0,0,92,26,24,97,73
13,test_set,134,0,0,0,34,14,25,29,32
14,train_set,310,0,0,0,81,28,39,102,60
14,test_set,133,0,0,0,37,18,11,40,27
15,train_set,310,0,0,0,73,36,37,99,65
15,test_set,134,0,0,0,46,10,18,40,20
16,train_set,312,0,0,0,84,23,52,91,62
16,test_set,134,0,0,0,34,8,13,43,36
17,train_set,312,0,0,0,81,37,39,93,62
17,test_set,135,0,0,0,35,11,15,37,37
18,train_set,311,0,0,0,87,35,43,74,72
18,test_set,134,0,0,0,38,18,16,40,22
19,train_set,314,0,0,0,90,30,39,80,75
19,test_set,135,0,0,0,41,12,17,43,22
20,train_set,311,27,102,39,93,50,0,0,0
20,test_set,134,13,36,29,40,16,0,0,0
21,train_set,308,26,98,57,95,32,0,0,0
21,test_set,132,15,38,27,42,10,0,0,0
22,train_set,309,36,89,43,93,48,0,0,0
22,test_set,133,15,47,21,32,18,0,0,0
23,train_set,313,42,77,47,103,44,0,0,0
23,test_set,135,16,36,29,41,13,0,0,0
24,train_set,308,42,94,45,91,36,0,0,0
24,test_set,132,19,37,19,38,19,0,0,0
25,train_set,311,37,88,49,101,36,0,0,0
25,test_set,134,15,41,18,34,26,0,0,0
26,train_set,311,34,107,59,77,34,0,0,0
26,test_set,134,16,43,22,41,12,0,0,0
27,train_set,310,39,85,52,91,43,0,0,0
27,test_set,134,21,42,22,37,12,0,0,0
28,train_set,308,43,90,51,97,27,0,0,0
28,test_set,133,17,32,30,41,13,0,0,0
29,train_set,313,40,90,65,89,29,0,0,0
29,test_set,135,14,48,21,32,20,0,0,0
