client_id,partition,total_samples,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
orchestrator,central_test_set,10000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0,train_set,2158,541,541,541,535,0,0,0,0,0,0
0,test_set,925,206,239,236,244,0,0,0,0,0,0
1,train_set,2154,558,561,535,500,0,0,0,0,0,0
1,test_set,924,201,241,241,241,0,0,0,0,0,0
2,train_set,2147,545,560,539,503,0,0,0,0,0,0
2,test_set,921,222,218,247,234,0,0,0,0,0,0
3,train_set,2156,530,542,525,559,0,0,0,0,0,0
3,test_set,924,229,231,219,245,0,0,0,0,0,0
4,train_set,2165,556,495,557,557,0,0,0,0,0,0
4,test_set,929,224,233,242,230,0,0,0,0,0,0
5,train_set,2114,0,0,0,0,678,702,734,0,0,0
5,test_set,906,0,0,0,0,298,299,309,0,0,0
6,train_set,2087,0,0,0,0,694,702,691,0,0,0
6,test_set,895,0,0,0,0,297,323,275,0,0,0
7,train_set,2093,0,0,0,0,725,698,670,0,0,0
7,test_set,897,0,0,0,0,286,310,301,0,0,0
8,train_set,2100,0,0,0,0,692,680,728,0,0,0
8,test_set,901,0,0,0,0,296,304,301,0,0,0
9,train_set,2102,0,0,0,0,707,709,686,0,0,0
9,test_set,901,0,0,0,0,287,300,314,0,0,0
10,train_set,2114,0,0,0,0,0,0,0,712,699,703
10,test_set,906,0,0,0,0,0,0,0,318,303,285
11,train_set,2087,0,0,0,0,0,0,0,708,695,684
11,test_set,895,0,0,0,0,0,0,0,323,293,279
12,train_set,2093,0,0,0,0,0,0,0,714,699,680
12,test_set,897,0,0,0,0,0,0,0,310,286,301
13,train_set,2100,0,0,0,0,0,0,0,710,690,700
13,test_set,901,0,0,0,0,0,0,0,315,295,291
14,train_set,2102,0,0,0,0,0,0,0,685,742,675
14,test_set,901,0,0,0,0,0,0,0,309,300,292
