,algorithm,dataset_name,insertion,deletion
0,baseline,MNIST overlaping balanced,0.4826963333468761,0.4794866085070676
1,briggs,MNIST overlaping balanced,0.4308167404915846,0.5179994031503423
2,sattler,MNIST overlaping balanced,0.6579811446828312,0.482150021126543
3,kmeans,MNIST overlaping balanced,0.7038885959607324,0.3820861644261224
4,affinity,MNIST overlaping balanced,0.6135786162060158,0.4565288453081847
5,meanshift,MNIST overlaping balanced,0.7210232309026098,0.3943099253320815
6,HDBSCAN,MNIST overlaping balanced,0.6756834212916806,0.38705345229871585
7,baseline,MNIST overlaping imbalanced,0.5759842536985494,0.4399892411226259
8,briggs,MNIST overlaping imbalanced,0.6855574222878474,0.3369713092841919
9,sattler,MNIST overlaping imbalanced,0.7221291104165571,0.524265352831595
10,kmeans,MNIST overlaping imbalanced,0.6514394274782518,0.5841966237692975
11,affinity,MNIST overlaping imbalanced,0.5632927994702714,0.6496783898916351
12,meanshift,MNIST overlaping imbalanced,0.5775111855796369,0.7331057275816223
13,HDBSCAN,MNIST overlaping imbalanced,0.6416502637119312,0.5771323359905219
14,baseline,MNIST nonoverlaping balanced,0.564990615483551,0.3542670218249979
15,briggs,MNIST nonoverlaping balanced,0.6147733946403636,0.3023993728965594
16,sattler,MNIST nonoverlaping balanced,0.8064768774456291,0.39298222812723355
17,kmeans,MNIST nonoverlaping balanced,0.8104765420594596,0.4123665252924691
18,affinity,MNIST nonoverlaping balanced,0.6718573559635415,0.3584360204855732
19,meanshift,MNIST nonoverlaping balanced,0.7904829157349227,0.3706586768342129
20,HDBSCAN,MNIST nonoverlaping balanced,0.8222438546074639,0.38725718315955165
21,baseline,MNIST nonoverlaping imbalanced,0.8799429287897986,0.2571055567702948
22,briggs,MNIST nonoverlaping imbalanced,0.8778213007270449,0.2587934132109857
23,sattler,MNIST nonoverlaping imbalanced,0.9627142677970143,0.287721323517311
24,kmeans,MNIST nonoverlaping imbalanced,0.9525025388981398,0.322069463403307
25,affinity,MNIST nonoverlaping imbalanced,0.860297196005263,0.2694306356861623
26,meanshift,MNIST nonoverlaping imbalanced,0.9641351585191006,0.3815667556191966
27,HDBSCAN,MNIST nonoverlaping imbalanced,0.9721599421246389,0.30701163874367743
28,baseline,FMNIST overlaping balanced,0.5059915007242662,0.4918235205063034
29,briggs,FMNIST overlaping balanced,0.5023222010281506,0.4938758325479819
30,sattler,FMNIST overlaping balanced,0.5462806362542625,0.6600343427603759
31,kmeans,FMNIST overlaping balanced,0.634749001694161,0.49202599170210154
32,affinity,FMNIST overlaping balanced,0.4475598030251054,0.6956905901344512
33,meanshift,FMNIST overlaping balanced,0.667229157818439,0.5026555356818164
34,HDBSCAN,FMNIST overlaping balanced,0.597639366087613,0.546262021548663
35,baseline,FMNIST overlaping imbalanced,0.5956357289035821,0.3598078485418343
36,briggs,FMNIST overlaping imbalanced,0.5589047104396685,0.382541617699024
37,sattler,FMNIST overlaping imbalanced,0.7386433438669985,0.5123058802335803
38,kmeans,FMNIST overlaping imbalanced,0.6916311301214466,0.514877584197926
39,affinity,FMNIST overlaping imbalanced,0.6044714888689926,0.5502504099044553
40,meanshift,FMNIST overlaping imbalanced,0.6604679963616186,0.5762308950655702
41,HDBSCAN,FMNIST overlaping imbalanced,0.7121526113829959,0.5151306947204651
42,baseline,FMNIST nonoverlaping balanced,0.4687817142241087,0.3503519303681741
43,briggs,FMNIST nonoverlaping balanced,0.5609311433133133,0.388859602139722
44,sattler,FMNIST nonoverlaping balanced,0.7966101523420107,0.6006343169284287
45,kmeans,FMNIST nonoverlaping balanced,0.7165405049255767,0.6185180988515208
46,affinity,FMNIST nonoverlaping balanced,0.5113503962489154,0.5779554923969661
47,meanshift,FMNIST nonoverlaping balanced,0.7302142834408247,0.5921347459465541
48,HDBSCAN,FMNIST nonoverlaping balanced,0.8001658142762028,0.5916917929673396
