client_id,partition,total_samples,0,1,2,3,4,5,6,7,8,9
orchestrator,central_test_set,10000,980,1135,1032,1010,982,892,958,1028,974,1009
0,train_set,2566,117,238,615,7,0,0,0,0,712,877
0,test_set,1101,45,105,255,4,0,0,0,0,332,360
1,train_set,2569,92,239,602,9,0,0,0,0,742,885
1,test_set,1102,52,112,250,7,0,0,0,0,314,367
2,train_set,2557,114,232,625,7,0,0,0,0,728,851
2,test_set,1097,35,95,242,2,0,0,0,0,295,428
3,train_set,2437,0,0,0,0,747,24,150,1392,77,47
3,test_set,1045,0,0,0,0,321,9,79,591,30,15
4,train_set,2419,0,0,0,0,696,20,168,1394,81,60
4,test_set,1038,0,0,0,0,297,16,63,606,35,21
5,train_set,2461,0,0,0,0,666,28,163,1432,106,66
5,test_set,1056,0,0,0,0,305,14,66,610,38,23
6,train_set,2434,0,0,0,0,695,22,156,1410,90,61
6,test_set,1044,0,0,0,0,298,17,61,617,27,24
7,train_set,2454,0,0,0,0,729,29,160,1400,80,56
7,test_set,1053,0,0,0,0,310,11,69,589,41,33
8,train_set,2433,0,0,0,0,668,31,157,1440,76,61
8,test_set,1043,0,0,0,0,296,12,71,608,30,26
9,train_set,2443,0,0,0,0,672,29,159,1433,85,65
9,test_set,1048,0,0,0,0,298,14,60,609,34,33
10,train_set,2537,187,1276,131,154,531,258,0,0,0,0
10,test_set,1088,70,551,65,64,245,93,0,0,0,0
11,train_set,2519,161,1282,139,166,558,213,0,0,0,0
11,test_set,1080,90,505,46,69,248,122,0,0,0,0
12,train_set,2555,180,1264,129,189,546,247,0,0,0,0
12,test_set,1096,78,527,66,69,254,102,0,0,0,0
13,train_set,2548,182,1272,139,165,562,228,0,0,0,0
13,test_set,1093,88,515,54,70,255,111,0,0,0,0
14,train_set,2538,179,1284,120,150,551,254,0,0,0,0
14,test_set,1088,74,567,57,69,217,104,0,0,0,0
