client_id,partition,total_samples,0,1,2,3,4,5,6,7,8
orchestrator,central_test_set,7180,1338,847,339,634,1035,592,741,421,1233
0,train_set,2259,425,440,454,0,0,0,0,417,523
0,test_set,969,196,180,197,0,0,0,0,172,224
1,train_set,2265,428,430,431,0,0,0,0,399,577
1,test_set,971,163,205,216,0,0,0,0,142,245
2,train_set,2262,400,434,433,0,0,0,0,442,553
2,test_set,970,184,182,202,0,0,0,0,170,232
3,train_set,2259,411,402,481,0,0,0,0,401,564
3,test_set,969,158,193,205,0,0,0,0,166,247
4,train_set,2276,441,470,475,0,0,0,0,357,533
4,test_set,976,184,213,189,0,0,0,0,168,222
5,train_set,2270,414,434,447,0,0,0,0,404,571
5,test_set,973,186,184,177,0,0,0,0,182,244
6,train_set,2268,389,442,448,0,0,0,0,425,564
6,test_set,973,185,162,198,0,0,0,0,179,249
7,train_set,2271,442,400,404,0,0,0,0,414,611
7,test_set,974,168,188,197,0,0,0,0,178,243
8,train_set,2263,415,410,454,0,0,0,0,392,592
8,test_set,971,189,174,207,0,0,0,0,155,246
9,train_set,2268,404,442,438,0,0,0,0,413,571
9,test_set,972,173,154,222,0,0,0,0,184,239
10,train_set,2260,0,0,0,0,370,566,339,443,542
10,test_set,969,0,0,0,0,155,238,147,187,242
11,train_set,2265,0,0,0,0,352,545,381,403,584
11,test_set,972,0,0,0,0,162,223,163,190,234
12,train_set,2268,0,0,0,0,351,570,373,426,548
12,test_set,972,0,0,0,0,158,227,166,191,230
13,train_set,2273,0,0,0,0,359,555,373,445,541
13,test_set,975,0,0,0,0,139,216,164,189,267
14,train_set,2272,0,0,0,0,388,516,338,436,594
14,test_set,974,0,0,0,0,174,219,154,173,254
15,train_set,2263,0,0,0,0,340,551,372,472,528
15,test_set,970,0,0,0,0,159,235,144,195,237
16,train_set,2275,0,0,0,0,361,559,383,397,575
16,test_set,975,0,0,0,0,137,231,164,193,250
17,train_set,2265,0,0,0,0,364,559,338,412,592
17,test_set,972,0,0,0,0,167,245,150,185,225
18,train_set,2262,0,0,0,0,345,536,377,437,567
18,test_set,970,0,0,0,0,146,241,144,175,264
19,train_set,2268,0,0,0,0,378,536,348,427,579
19,test_set,973,0,0,0,0,167,238,149,178,241
20,train_set,2269,339,364,409,406,284,467,0,0,0
20,test_set,973,124,149,152,177,153,218,0,0,0
21,train_set,2277,353,375,395,376,293,485,0,0,0
21,test_set,977,163,136,164,163,142,209,0,0,0
22,train_set,2277,362,374,391,397,314,439,0,0,0
22,test_set,977,159,162,164,164,132,196,0,0,0
23,train_set,2279,358,372,433,374,306,436,0,0,0
23,test_set,978,148,138,178,172,140,202,0,0,0
24,train_set,2284,363,389,397,389,304,442,0,0,0
24,test_set,979,149,184,149,184,127,186,0,0,0
25,train_set,2279,367,367,400,359,281,505,0,0,0
25,test_set,978,140,150,173,156,134,225,0,0,0
26,train_set,2277,373,364,422,360,298,460,0,0,0
26,test_set,976,167,158,186,171,120,174,0,0,0
27,train_set,2272,364,383,380,406,306,433,0,0,0
27,test_set,974,150,152,182,148,155,187,0,0,0
28,train_set,2279,343,359,401,379,322,475,0,0,0
28,test_set,977,153,166,177,163,128,190,0,0,0
29,train_set,2284,370,365,387,383,295,484,0,0,0
29,test_set,979,148,168,170,160,144,189,0,0,0
