,algorithm,dataset_name,insertion,deletion
0,baseline,MNIST overlaping balanced,,
1,briggs,MNIST overlaping balanced,,
2,sattler,MNIST overlaping balanced,0.5584560215389964,0.45393680184250107
3,kmeans,MNIST overlaping balanced,0.6561165439019899,0.3243419095080115
4,affinity,MNIST overlaping balanced,0.5762798691089667,0.48375918605418133
5,meanshift,MNIST overlaping balanced,0.6368965363169461,0.36795747078934815
6,HDBSCAN,MNIST overlaping balanced,0.6476484063324625,0.33356764454030413
7,baseline,MNIST overlaping imbalanced,,
8,briggs,MNIST overlaping imbalanced,,
9,sattler,MNIST overlaping imbalanced,0.593774081768124,0.44931689930058977
10,kmeans,MNIST overlaping imbalanced,0.503751538197737,0.6220222475013193
11,affinity,MNIST overlaping imbalanced,0.554924754417947,0.6519325001232278
12,meanshift,MNIST overlaping imbalanced,0.541221694482127,0.6727359158503697
13,HDBSCAN,MNIST overlaping imbalanced,0.4742418005967326,0.6512627812163249
14,baseline,MNIST nonoverlaping balanced,,
15,briggs,MNIST nonoverlaping balanced,,
16,sattler,MNIST nonoverlaping balanced,0.6239716816120413,0.3335762696581117
17,kmeans,MNIST nonoverlaping balanced,0.6849680040425996,0.25641567457826725
18,affinity,MNIST nonoverlaping balanced,0.7041110953845937,0.3404170435493545
19,meanshift,MNIST nonoverlaping balanced,0.6761495949854286,0.23809085175533812
20,HDBSCAN,MNIST nonoverlaping balanced,0.711554140335528,0.26069358547480853
21,baseline,MNIST nonoverlaping imbalanced,,
22,briggs,MNIST nonoverlaping imbalanced,,
23,sattler,MNIST nonoverlaping imbalanced,0.9220357889357017,0.23103227950084634
24,kmeans,MNIST nonoverlaping imbalanced,0.8894238857902814,0.25096500130798005
25,affinity,MNIST nonoverlaping imbalanced,0.8762423162961865,0.26588291163618927
26,meanshift,MNIST nonoverlaping imbalanced,0.8943299201667819,0.26798757938437356
27,HDBSCAN,MNIST nonoverlaping imbalanced,0.894197867155297,0.24133184463808696
28,baseline,FMNIST overlaping balanced,,
29,briggs,FMNIST overlaping balanced,,
30,sattler,FMNIST overlaping balanced,0.4317097671035032,0.6488851818037079
31,kmeans,FMNIST overlaping balanced,0.6528623999539634,0.4439651063527825
32,affinity,FMNIST overlaping balanced,0.4934865947878784,0.6862027261026697
33,meanshift,FMNIST overlaping balanced,0.653227150472761,0.44736183315416383
34,HDBSCAN,FMNIST overlaping balanced,0.6055224559905078,0.4612546353502259
35,baseline,FMNIST overlaping imbalanced,,
