client_id,partition,total_samples,0,1,2,3,4,5,6,7,8
orchestrator,central_test_set,7180,1338,847,339,634,1035,592,741,421,1233
0,train_set,4214,1294,1393,1527,0,0,0,0,0,0
0,test_set,1806,594,555,657,0,0,0,0,0,0
1,train_set,4242,1321,1417,1504,0,0,0,0,0,0
1,test_set,1818,607,603,608,0,0,0,0,0,0
2,train_set,4227,1351,1317,1559,0,0,0,0,0,0
2,test_set,1812,617,596,599,0,0,0,0,0,0
3,train_set,4244,1353,1383,1508,0,0,0,0,0,0
3,test_set,1820,567,587,666,0,0,0,0,0,0
4,train_set,4232,1392,1399,1441,0,0,0,0,0,0
4,test_set,1814,596,548,670,0,0,0,0,0,0
5,train_set,4227,0,0,0,1409,1101,1717,0,0,0
5,test_set,1812,0,0,0,600,498,714,0,0,0
6,train_set,4251,0,0,0,1429,1124,1698,0,0,0
6,test_set,1822,0,0,0,624,493,705,0,0,0
7,train_set,4260,0,0,0,1390,1141,1729,0,0,0
7,test_set,1826,0,0,0,641,499,686,0,0,0
8,train_set,4235,0,0,0,1431,1107,1697,0,0,0
8,test_set,1816,0,0,0,636,461,719,0,0,0
9,train_set,4244,0,0,0,1438,1140,1666,0,0,0
9,test_set,1820,0,0,0,621,472,727,0,0,0
10,train_set,4230,0,0,0,0,0,0,1099,1326,1805
10,test_set,1813,0,0,0,0,0,0,465,564,784
11,train_set,4246,0,0,0,0,0,0,1075,1355,1816
11,test_set,1820,0,0,0,0,0,0,481,538,801
12,train_set,4260,0,0,0,0,0,0,1074,1291,1895
12,test_set,1827,0,0,0,0,0,0,481,564,782
13,train_set,4233,0,0,0,0,0,0,1141,1322,1770
13,test_set,1815,0,0,0,0,0,0,473,554,788
14,train_set,4230,0,0,0,0,0,0,1084,1342,1804
14,test_set,1814,0,0,0,0,0,0,481,561,772
