0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA
AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,ABA,ABB,ABA,ABB,ABA,ABB,ABB,ABA,ABA,ABA,AAB,AAB,AAB,AAB,AAB,AAB,AAB,AAB,AAB,AAB
AAAA,AAAB,AAAA,AAAA,AAAB,AAAA,AAAA,AAAA,AAAB,AAAB,ABAA,ABBA,ABAA,ABBA,ABAA,ABBB,ABBA,ABAB,ABAA,ABAB,AABB,AABA,AABA,AABB,AABB,AABA,AABB,AABB,AABA,AABA
AAAAA,AAAB,AAAAA,AAAAA,AAAB,AAAAA,AAAAA,AAAAB,AAAB,AAAB,ABAA,ABBA,ABAA,ABBA,ABAA,ABBB,ABBA,ABAB,ABAA,ABAB,AABB,AABA,AABA,AABB,AABB,AABA,AABB,AABB,AABA,AABA
AAAAAA,AAAB,AAAAAA,AAAAAB,AAAB,AAAAAA,AAAAAB,AAAAB,AAAB,AAAB,ABAA,ABBAB,ABAA,ABBAA,ABAA,ABBB,ABBAA,ABAB,ABAA,ABAB,AABB,AABA,AABA,AABB,AABB,AABA,AABB,AABB,AABA,AABA
AAAAAA,AAAB,AAAAAA,AAAAAB,AAAB,AAAAAA,AAAAAB,AAAAB,AAAB,AAAB,ABAA,ABBAB,ABAA,ABBAA,ABAA,ABBB,ABBAA,ABAB,ABAA,ABAB,AABB,AABA,AABA,AABB,AABB,AABA,AABB,AABB,AABA,AABA
AAAAAA,AAAB,AAAAAA,AAAAAB,AAAB,AAAAAA,AAAAAB,AAAAB,AAAB,AAAB,ABAA,ABBAB,ABAA,ABBAA,ABAA,ABBB,ABBAA,ABAB,ABAA,ABAB,AABB,AABA,AABA,AABB,AABB,AABA,AABB,AABB,AABA,AABA
