client_id,partition,total_samples,T - shirt / top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
orchestrator,central_test_set,10000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0,train_set,1298,862,35,134,221,0,0,0,0,20,26
0,test_set,557,378,21,54,79,0,0,0,0,8,17
1,train_set,1293,864,41,139,201,0,0,0,0,16,32
1,test_set,555,358,19,70,80,0,0,0,0,12,16
2,train_set,1303,857,42,128,226,0,0,0,0,18,32
2,test_set,559,378,16,48,101,0,0,0,0,4,12
3,train_set,1283,876,39,116,199,0,0,0,0,16,37
3,test_set,550,366,13,48,102,0,0,0,0,7,14
4,train_set,1299,839,34,130,233,0,0,0,0,17,46
4,test_set,558,376,11,61,89,0,0,0,0,5,16
5,train_set,1306,854,40,145,218,0,0,0,0,17,32
5,test_set,560,359,13,63,96,0,0,0,0,9,20
6,train_set,1300,882,27,108,219,0,0,0,0,20,44
6,test_set,558,359,17,64,96,0,0,0,0,5,17
7,train_set,1337,0,0,0,0,175,143,63,341,32,583
7,test_set,574,0,0,0,0,83,48,24,136,24,259
8,train_set,1330,0,0,0,0,211,147,58,299,28,587
8,test_set,570,0,0,0,0,89,52,30,140,24,235
9,train_set,1339,0,0,0,0,208,144,82,290,37,578
9,test_set,574,0,0,0,0,72,67,25,169,15,226
10,train_set,1331,0,0,0,0,189,145,65,318,33,581
10,test_set,571,0,0,0,0,76,64,34,142,19,236
11,train_set,1340,0,0,0,0,170,131,58,343,47,591
11,test_set,575,0,0,0,0,87,66,30,140,20,232
12,train_set,1339,0,0,0,0,181,128,71,356,40,563
12,test_set,574,0,0,0,0,88,54,25,152,15,240
13,train_set,1339,0,0,0,0,169,148,72,336,33,581
13,test_set,574,0,0,0,0,78,64,32,143,22,235
14,train_set,1330,0,0,0,0,182,148,71,339,39,551
14,test_set,570,0,0,0,0,87,59,27,134,13,250
15,train_set,1329,0,0,0,0,179,154,73,337,35,551
15,test_set,570,0,0,0,0,76,66,27,135,20,246
16,train_set,1339,0,0,0,0,182,146,75,333,47,556
16,test_set,574,0,0,0,0,77,58,30,143,19,247
17,train_set,1341,0,0,0,0,198,149,74,341,35,544
17,test_set,576,0,0,0,0,79,61,29,148,15,244
18,train_set,1338,0,0,0,0,193,139,59,346,31,570
18,test_set,574,0,0,0,0,76,71,32,135,17,243
19,train_set,1335,0,0,0,0,200,141,66,317,36,575
19,test_set,573,0,0,0,0,82,66,29,133,14,249
20,train_set,1329,0,0,0,0,165,146,83,357,34,544
20,test_set,570,0,0,0,0,80,62,25,147,14,242
21,train_set,1346,169,183,589,40,211,154,0,0,0,0
21,test_set,577,79,87,232,19,90,70,0,0,0,0
22,train_set,1334,180,193,577,39,209,136,0,0,0,0
22,test_set,573,94,59,232,18,115,55,0,0,0,0
23,train_set,1339,180,173,563,51,225,147,0,0,0,0
23,test_set,574,69,70,250,19,106,60,0,0,0,0
24,train_set,1335,204,164,512,54,239,162,0,0,0,0
24,test_set,573,86,74,240,16,92,65,0,0,0,0
25,train_set,1345,189,188,563,40,214,151,0,0,0,0
25,test_set,577,78,72,247,26,92,62,0,0,0,0
26,train_set,1348,168,193,556,35,241,155,0,0,0,0
26,test_set,579,80,81,240,15,97,66,0,0,0,0
27,train_set,1348,197,199,566,42,226,118,0,0,0,0
27,test_set,578,76,71,250,24,97,60,0,0,0,0
28,train_set,1343,162,184,586,52,221,138,0,0,0,0
28,test_set,576,80,81,225,18,101,71,0,0,0,0
29,train_set,1339,206,171,567,39,201,155,0,0,0,0
29,test_set,575,73,85,241,14,99,63,0,0,0,0
