client_id,partition,total_samples,T - shirt / top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
orchestrator,central_test_set,10000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0,train_set,2649,445,437,424,433,0,0,0,0,433,477
0,test_set,1136,190,183,194,181,0,0,0,0,192,196
1,train_set,2654,457,482,404,423,0,0,0,0,496,392
1,test_set,1138,189,187,195,188,0,0,0,0,178,201
2,train_set,2667,439,470,457,424,0,0,0,0,447,430
2,test_set,1143,183,187,201,211,0,0,0,0,175,186
3,train_set,2653,402,422,451,451,0,0,0,0,463,464
3,test_set,1138,175,192,183,220,0,0,0,0,192,176
4,train_set,2673,438,445,451,446,0,0,0,0,434,459
4,test_set,1146,190,192,197,192,0,0,0,0,190,185
5,train_set,2649,0,0,0,0,447,452,434,420,439,457
5,test_set,1136,0,0,0,0,185,176,186,220,178,191
6,train_set,2654,0,0,0,0,444,432,465,431,449,433
6,test_set,1138,0,0,0,0,170,200,176,192,204,196
7,train_set,2667,0,0,0,0,453,435,467,454,442,416
7,test_set,1143,0,0,0,0,181,170,191,202,209,190
8,train_set,2653,0,0,0,0,444,451,426,462,421,449
8,test_set,1138,0,0,0,0,163,225,194,178,194,184
9,train_set,2673,0,0,0,0,443,450,452,417,462,449
9,test_set,1146,0,0,0,0,192,209,191,171,191,192
10,train_set,2649,454,430,424,459,459,423,0,0,0,0
10,test_set,1136,162,167,213,199,194,201,0,0,0,0
11,train_set,2654,462,457,418,436,437,444,0,0,0,0
11,test_set,1138,189,204,169,216,189,171,0,0,0,0
12,train_set,2667,445,448,463,432,440,439,0,0,0,0
12,test_set,1143,181,189,183,191,190,209,0,0,0,0
13,train_set,2653,432,438,461,444,443,435,0,0,0,0
13,test_set,1138,200,199,202,176,175,186,0,0,0,0
14,train_set,2673,462,460,434,430,428,459,0,0,0,0
14,test_set,1146,205,183,179,199,195,185,0,0,0,0
