client_id,partition,total_samples,T - shirt / top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
orchestrator,central_test_set,10000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0,train_set,2608,18,224,573,428,0,0,0,0,851,514
0,test_set,1119,12,94,239,160,0,0,0,0,373,241
1,train_set,2599,27,245,526,467,0,0,0,0,850,484
1,test_set,1114,10,104,214,195,0,0,0,0,359,232
2,train_set,2606,20,251,544,410,0,0,0,0,870,511
2,test_set,1118,7,86,218,221,0,0,0,0,369,217
3,train_set,2568,0,0,0,0,98,29,292,775,475,899
3,test_set,1101,0,0,0,0,47,12,133,359,184,366
4,train_set,2578,0,0,0,0,100,31,326,810,453,858
4,test_set,1106,0,0,0,0,50,12,128,365,203,348
5,train_set,2582,0,0,0,0,99,18,308,820,456,881
5,test_set,1107,0,0,0,0,46,12,144,372,195,338
6,train_set,2580,0,0,0,0,99,25,314,847,467,828
6,test_set,1106,0,0,0,0,45,15,145,324,224,353
7,train_set,2585,0,0,0,0,119,30,310,825,467,834
7,test_set,1108,0,0,0,0,39,7,121,338,207,396
8,train_set,2571,0,0,0,0,122,26,322,805,462,834
8,test_set,1102,0,0,0,0,45,16,129,357,191,364
9,train_set,2583,0,0,0,0,96,29,341,785,513,819
9,test_set,1108,0,0,0,0,39,6,141,352,212,358
10,train_set,2586,491,620,45,310,191,929,0,0,0,0
10,test_set,1109,217,302,19,123,69,379,0,0,0,0
11,train_set,2590,520,656,48,332,182,852,0,0,0,0
11,test_set,1110,217,285,12,150,65,381,0,0,0,0
12,train_set,2594,508,641,49,314,188,894,0,0,0,0
12,test_set,1113,210,300,13,108,82,400,0,0,0,0
13,train_set,2591,490,638,47,341,171,904,0,0,0,0
13,test_set,1111,232,274,30,125,83,367,0,0,0,0
14,train_set,2604,533,657,48,329,178,859,0,0,0,0
14,test_set,1116,216,273,19,141,72,395,0,0,0,0
