client_id,partition,total_samples,0,1,2,3,4,5,6,7,8
orchestrator,central_test_set,7180,1338,847,339,634,1035,592,741,421,1233
0,train_set,4210,386,857,115,0,0,0,0,405,2447
0,test_set,1805,149,336,55,0,0,0,0,182,1083
1,train_set,4229,368,878,112,0,0,0,0,372,2499
1,test_set,1813,163,361,54,0,0,0,0,179,1056
2,train_set,4256,382,839,127,0,0,0,0,392,2516
2,test_set,1825,189,345,41,0,0,0,0,168,1082
3,train_set,4179,0,0,0,0,90,34,690,2003,1362
3,test_set,1792,0,0,0,0,39,16,266,840,631
4,train_set,4189,0,0,0,0,88,66,620,1990,1425
4,test_set,1796,0,0,0,0,40,13,264,870,609
5,train_set,4205,0,0,0,0,90,41,713,1912,1449
5,test_set,1803,0,0,0,0,39,20,297,849,598
6,train_set,4214,0,0,0,0,88,51,653,1963,1459
6,test_set,1806,0,0,0,0,41,22,298,874,571
7,train_set,4177,0,0,0,0,95,55,658,1935,1434
7,test_set,1791,0,0,0,0,35,21,298,836,601
8,train_set,4189,0,0,0,0,85,48,675,1933,1448
8,test_set,1796,0,0,0,0,37,24,296,865,574
9,train_set,4183,0,0,0,0,78,36,653,1943,1473
9,test_set,1793,0,0,0,0,38,20,254,838,643
10,train_set,4106,121,2421,194,288,175,907,0,0,0
10,test_set,1761,56,1025,92,112,71,405,0,0,0
11,train_set,4109,112,2441,204,285,160,907,0,0,0
11,test_set,1762,49,994,74,129,78,438,0,0,0
12,train_set,4134,116,2434,208,300,171,905,0,0,0
12,test_set,1772,39,1044,83,111,77,418,0,0,0
13,train_set,4125,128,2434,194,297,179,893,0,0,0
13,test_set,1768,36,1047,91,134,70,390,0,0,0
14,train_set,4120,97,2397,196,306,163,961,0,0,0
14,test_set,1766,49,1054,103,132,76,352,0,0,0
